Project name,Region,Country,Partners,OG_01,Project type,Announcement,FID,Operation,Suspension/decommissioning,Project Status,Project phase,Announced capacity (low) (Mt CO2/yr),Announced capacity (high) (Mt CO2/yr),Sector,Fate of carbon,Part of CCUS hub,Ref 1,Ref 2,Ref 3,Ref 4,Ref 5,Ref 6,Ref 7,Link 1,Link 2,Link 3,Link 4,Link 5,Link 6,Link 7
In Salah,Africa,Algeria,"bp, Sonatrach, Equinor",1,Full chain,,,2014,2011,Decommissioned,,0.5,0.5,Natural gas processing,Dedicated storage,,,,,,,,,,,,,,,
Moomba Carbon Capture and Storage,Asia Pacific,Australia,"Santos, Beach Energy",1,Full chain,2019,2021,2024,,Under construction,1,1.7,1.7,Natural gas processing,Dedicated storage,Moomba storage hub,,,,,,,,,,,,,,
Mineral carbonation international Carbon Plant demonstrator,Asia Pacific,Australia,Mineral Carbonation International,0,CCU,2021,,2023,,Under construction,,0.3,0.3,Other industry,Use,,,,,,,,,,,,,,,
CTSCo Project,Asia Pacific,Australia,Glencore Carbon Transport and Storage Company (CTSCo),0,Full chain,2010,2022,2023,,Under construction,,0.11,0.11,Power and heat,Dedicated storage,,,,,,,,,,,,,,,
H2Perth Woodside,Asia Pacific,Australia,"Woodside, McDermott (pre-FEED)",1,Full chain,2021,2023,,,Planned,,,,Hydrogen/ammonia,Unknown/unspecified,,,,,,,,,,,,,,,
Multi-user Burrup CCUS hub and network (Karratha CCS Project),Asia Pacific,Australia,"Woodside, bp, Shell, Chevron, MIMI (50/50 Mitsubishi and Mitsui)",1,T&S,2022,,,,Planned,,,,CO2 T&S,Dedicated storage,Burrup CCUS hub,,,,,,,,,,,,,,
Woodside Browse CCS Assessment,Asia Pacific,Australia,Woodside energy,1,Full chain,2022,,,,Planned,,,,Natural gas processing,Dedicated storage,,,,,,,,,,,,,,,
CarbonNet,Asia Pacific,Australia,"Victorian Government/Australian Government, (DNV)",0,T&S,2010,2024,2030,,Planned,,5,5,CO2 T&S,Dedicated storage,CarbonNET,,,,,,,,,,,,,,
"Santos Port Botany, New South Wales",Asia Pacific,Australia,"Santos, Qenos",0,CCU,2021,,,,Planned,,0.15,0.15,Hydrogen/ammonia,Use,,,,,,,,,,,,,,,
Santos Moomba storage Hub,Asia Pacific,Australia,"Santos, Beach Energy",1,Storage,2019,,,,Planned,,20,20,CO2 T&S,Dedicated storage,Santos Moomba storage Hub,,,,,,,,,,,,,,
Santos Carnavon Basin storage (Reindeer CCS),Asia Pacific,Australia,Santos Offshore Pty Ltd (50% and Operator) and Chevron Australia Pty Ltd (50%),1,Storage,2022,2025,2028,,Planned,,2.4,2.4,CO2 storage,Dedicated storage,Santos Carnavon Basin storage (Reindeer CCS),,,,,,,,,,,,,,
Santos Bonaparte Basin storage,Asia Pacific,Australia,"Santos Offshore Pty Ltd (40% and Operator), Chevron Australia Pty Ltd (30%) and SK E&S (30%) ",1,Storage,2022,,,,Planned,,,,CO2 storage,Dedicated storage,Santos Bonaparte Basin storage,,,,,,,,,,,,,,
Barossa and Darwin liquefied natural gas (DLNG) CCUS,Asia Pacific,Australia,"Santos (43.4%), SK E&S, JERA",0,Capture,2021,2023,2025,,Planned,,2.3,2.3,Natural gas processing,Dedicated storage,Bayu-Undan field storage hub,,,,,,,,,,,,,,
Bayu-Undan field storage hub Timor-Leste phase 1,Asia Pacific,Australia,"Santos (43.4%) , SK E&S (25%), INPEX (11.4%), ENI (11%), JERA (6.1%), Tokyo Gas (3.1%)",1,T&S,2021,2025,2027,,Planned,1,2.3,2.3,CO2 T&S,Dedicated storage,Bayu-Undan field storage hub,,,,,,,,,,,,,,
Bayu-Undan field storage hub Timor-Leste phase 2,Asia Pacific,Australia,"Santos (43.4%) , SK E&S (25%), INPEX (11.4%), ENI (11%), JERA (6.1%), Tokyo Gas (3.1%)",1,T&S,2021,2025,,,Planned,2,10,10,CO2 T&S,Dedicated storage,Bayu-Undan field storage hub,,,,,,,,,,,,,,
Mid West Clean Energy Project,Asia Pacific,Australia,"Pilot Energy, Warrego Energy, APA group
",1,Full chain,2021,,2025,,Planned,,,,Hydrogen/ammonia,Dedicated storage,,,,,,,,,,,,,,,
South West Blue Hydrogen,Asia Pacific,Australia,Pilot Energy,1,Capture,2021,,,,Planned,,,,Hydrogen/ammonia,Dedicated storage,South West Hub Project,,,,,,,,,,,,,,
MEPAU Mid West CCUS hub,Asia Pacific,Australia,"Mitsui E&P Australia (MEPAU), JOGMEC",1,Full chain,2021,,2028,,Planned,,,,Hydrogen/ammonia,Dedicated storage,Mid West CCUS hub,,,,,,,,,,,,,,
Hydrogen Energy Supply Chain (HESC) Project Full scale (CarbonNET),Asia Pacific,Australia,"Kawasaki heavy industries, J-POWER, Iwatani Corporation, Marubeni Corporation, AGL, Sumitomo Corporation",0,Capture,2018,,2030,,Planned,1,1.8,4.39,Hydrogen/ammonia,Dedicated storage,CarbonNET,,,,,,,,,,,,,,
J-Power Sumitomo joint feasibility clean hydrogen Latrobe Valley (VI),Asia Pacific,Australia,"J-Power, Sumitomo corporation",0,Full chain,2023,,,,Planned,,,,Hydrogen/ammonia,Dedicated storage,,,,,,,,,,,,,,,
Bonaparte CCS Assessment G7-AP,Asia Pacific,Australia,"Inpex (53%), TotalEnergies (26%), Woodside (21%, operator)",1,Storage,2022,,2026,,Planned,,2,2,CO2 storage,Dedicated storage,,,,,,,,,,,,,,,
Longford gas plant,Asia Pacific,Australia,ExxonMobil,1,Capture,2022,,2025,,Planned,,2,2,Natural gas processing,Dedicated storage,SEA CCS,,,,,,,,,,,,,,
South East Australia carbon capture and storage (SEA CCS) hub,Asia Pacific,Australia,"Esso Australia Resources Pty Ltd, BHP Petroleum Pty Ltd ",1,T&S,2022,,2025,,Planned,,2,2,CO2 T&S,Dedicated storage,Sea CCS hub,,,,,,,,,,,,,,
South West Hub Project,Asia Pacific,Australia,"Department of Mines, Industry Regulation and Safety (DMIRS)",0,Storage,2010,,,,Planned,,0.8,0.8,CO2 T&S,Dedicated storage,South West Hub Project,,,,,,,,,,,,,,
Cstore 1,Asia Pacific,Australia,"deepC-store (dev and operator), Mitsui (for shipping), Technip Energies (TEN) (pre-FEED for hub facility)",0,T&S,2021,,,,Planned,,1.5,7.5,CO2 T&S,Dedicated storage,Cstore 1,,,,,,,,,,,,,,
Geovault Carnarvon Basin CCS assessment,Asia Pacific,Australia,Buru Energy (Geovault) and Energy Resources Ltd,1,Storage,2022,,,,Planned,,,,CO2 storage,Dedicated storage,,,,,,,,,,,,,,,
Bridgeport Energy Moonie CCUS Project,Asia Pacific,Australia,Bridgeport Energy Limited,1,T&S,2018,,2023,,Planned,,0.12,0.12,CO2 T&S,EOR,Bridgeport Energy Moonie CCUS Project,,,,,,,,,,,,,,
Boral Southern Highlands cement and lime facilities,Asia Pacific,Australia,"Boral, Calix",0,CCU,2022,,,,Planned,,0.1,0.1,Other industry,Use,,,,,,,,,,,,,,,
Adbri Calix new Lime plant Kwinana,Asia Pacific,Australia,"Adbri, Calix, CarbonTP, Heavy Industry Low Emissions Technology Co-Operative Research Centre",0,Capture,2021,,,,Planned,,,,Other industry,Dedicated storage,South West Hub Project,,,,,,,,,,,,,,
Gorgon CCS,Asia Pacific,Australia,"Chevron (47.3 per cent, operator), Shell (25 per cent), ExxonMobil (25 per cent), Osaka Gas (1.25 per cent), Tokyo Gas (1 per cent), Chubu Electric Power (0.417 per cent)",1,Full chain,2009,2009,2019,,Operational,,3.4,4,Natural gas processing,Dedicated storage,,,,,,,,,,,,,,,
Carbon2ProductAustria (C2PAT) - Lafarge Mannersdorf,Europe,Austria,Holcim Group,0,Capture,2020,,2030,,Planned,1,0.7,0.7,Cement,Dedicated storage,,,,,,,,,,,,,,,
Aluminium Bahrain MHI capture,Middle East,Bahrain,"Aluminium Bahrain (Alba), Mitsubishi HI (Feasibility/tech)",0,Capture,2022,,,,Planned,,,,Other industry,Unknown/unspecified,,,,,,,,,,,,,,,
Ineos Antwerp CCS,Europe,Belgium,INEOS,1,Capture,2021,2023,2030,,Planned,,,,Other industry,Unknown/unspecified,,,,,,,,,,,,,,,
Holcim Oburg cement plant,Europe,Belgium,Holcim Group,0,Capture,2022,,,,Planned,,1.3,1.3,Cement,Dedicated storage,,,,,,,,,,,,,,,
Heidelberg Materials CBR Antoing Cement Plant (Project Anthemis),Europe,Belgium,Heidelberg Materials,0,Capture,2023,,2028,,Planned,,0.8,0.8,Cement,Dedicated storage,,,,,,,,,,,,,,,
Ghent Carbon Hub,Europe,Belgium,"Fluxys, ArcelorMittal, North Sea Port",0,Transport,2022,,2027,,Planned,,6,6,CO2 transport,,Connected to German Carbon Grid,,,,,,,,,,,,,,
Exxonmobil Antwerp Refinery CCS,Europe,Belgium,Exxonmobil,1,Capture,2021,2023,2030,,Planned,,,,Other fuel transformation,Unknown/unspecified,,,,,,,,,,,,,,,
H2BE,Europe,Belgium,"Equinor, Engie",1,Capture,2021,,2030,,Planned,,,,Hydrogen/ammonia,Dedicated storage,,,,,,,,,,,,,,,
Borealis Antwerp CCS,Europe,Belgium,Borealis,0,Capture,2021,2023,2030,,Planned,,,,Other industry,Unknown/unspecified,,,,,,,,,,,,,,,
Antwerp@C CO2 Export Hub phase 1,Europe,Belgium,"Air Liquide, BASF, Borealis, ExxonMobil, INEOS, Total Energies, Fluxys and the Port of Antwerp",1,Transport,2019,2023,2027,,Planned,1,2.5,2.5,CO2 transport,,Antwerp@C,,,,,,,,,,,,,,
Antwerp@C CO2 Export Hub phase 2,Europe,Belgium,"Air Liquide, BASF, Borealis, ExxonMobil, INEOS, Total Energies, Fluxys and the Port of Antwerp",1,Transport,2019,2023,2030,,Planned,2,7.5,7.5,CO2 transport,,Antwerp@C,,,,,,,,,,,,,,
Kairos@C,Europe,Belgium,"Air Liquide, BASF",0,Capture,2021,2023,2025,,Planned,,1.42,1.42,Other industry,Dedicated storage,,,,,,,,,,,,,,,
Arcelor LanzaTech Carbalyst (Steelanol) Ghent,Europe,Belgium,"ArcelorMittal, LanzaTech",0,CCU,2011,2015,2022,,Operational,,0.125,0.125,Iron and steel,Use,,,,,,,,,,,,,,,
WH2V therminal (Wilhelshaven green energy hub phase 1),Europe,"Belgium, Germany, Netherlands, Switzerland, United States",TES,0,Transport,2022,,2029,,Planned,,10,10,CO2 transport,,Connected to German Carbon Grid,,,,,,,,,,,,,,
